City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Uribia,CO,79.92,overcast clouds,11.7139,-72.266,Hotel Uribia
10,Atuona,PF,79.88,few clouds,-9.8,-139.0333,Villa Enata
22,Rikitea,PF,77.76,overcast clouds,-23.1203,-134.9692,People ThankYou
26,La Belgica,BO,75.49,scattered clouds,-17.55,-63.2167,Colpa Caranda Eco Resort
28,Adrar,MR,70.72,clear sky,20.5022,-10.0711,
35,Cabo San Lucas,MX,71.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
39,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
47,Gamboma,CG,74.1,overcast clouds,-1.8764,15.8644,Residence N'Keni
48,Tangwani,PK,79.83,clear sky,28.2787,68.9972,Malik Hafeez Markeet
57,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
61,Hilo,US,78.53,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
66,Bandarbeyla,SO,75.69,clear sky,9.4942,50.8122,JABIR HOTEL
69,Primero De Enero,CU,77.34,broken clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
72,Sao Filipe,CV,70.54,clear sky,14.8961,-24.4956,Hotel Xaguate
77,Aripuana,BR,74.39,overcast clouds,-9.1667,-60.6333,
81,Auki,SB,79.18,overcast clouds,-8.7676,160.7034,Auki Motel
83,Moree,AU,77.02,broken clouds,-29.4667,149.85,Molika Springs Motel
93,Azare,NG,79.88,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
95,Ibotirama,BR,72.61,clear sky,-12.1853,-43.2206,Serra do Rio Hotel
96,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
99,Puerto Escondido,MX,79.09,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
100,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
104,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
105,Victoria,HK,72.25,clear sky,22.2855,114.1577,Mini Hotel Central
115,Buta,CD,70.52,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
118,Ahipara,NZ,71.65,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
120,Sambava,MG,75.49,overcast clouds,-14.2667,50.1667,Melrose
130,Daitari,IN,78.06,broken clouds,21.1,85.75,
145,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
150,Tizimin,MX,79.61,overcast clouds,21.15,-88.15,silva hogar
151,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
