City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,67.86,75,75,8.05,broken clouds
1,Ponta Do Sol,PT,32.6667,-17.1,60.71,61,88,13.53,overcast clouds
2,Port Alfred,ZA,-33.5906,26.891,66.18,89,50,1.01,scattered clouds
3,Jurmala,LV,56.968,23.7704,28.42,93,0,8.05,clear sky
4,Rincon,US,32.296,-81.2354,65.86,42,0,0.0,clear sky
5,Terrace Bay,CA,48.7834,-87.1,31.42,98,88,6.17,overcast clouds
6,Sitka,US,57.0531,-135.33,42.69,65,75,8.05,broken clouds
7,Uribia,CO,11.7139,-72.266,79.92,74,85,13.71,overcast clouds
8,Baykit,RU,61.67,96.37,17.65,87,28,2.04,scattered clouds
9,Tiksi,RU,71.6872,128.8694,6.66,92,100,8.81,overcast clouds
10,Atuona,PF,-9.8,-139.0333,79.88,74,13,21.14,few clouds
11,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,16.11,scattered clouds
12,Busselton,AU,-33.65,115.3333,68.63,52,15,14.54,few clouds
13,Coquimbo,CL,-29.9533,-71.3436,56.93,100,0,5.75,clear sky
14,Jamestown,US,42.097,-79.2353,35.19,71,100,13.8,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,37.06,87,20,11.5,few clouds
16,Ribeira Brava,PT,32.65,-17.0667,60.71,63,87,13.91,overcast clouds
17,Norman Wells,CA,65.282,-126.8329,5.04,56,75,9.22,broken clouds
18,Luderitz,NA,-26.6481,15.1594,58.06,87,0,4.25,clear sky
19,Astoria,US,46.1879,-123.8313,50.7,96,100,11.99,moderate rain
20,Pangai,TO,-19.8,-174.35,82.51,69,75,2.3,broken clouds
21,Viedma,AR,-40.8135,-62.9967,51.21,53,2,11.27,clear sky
22,Rikitea,PF,-23.1203,-134.9692,77.76,64,100,9.66,overcast clouds
23,Chuy,UY,-33.6971,-53.4616,63.12,95,6,5.46,clear sky
24,Nikolskoye,RU,59.7035,30.7861,28.87,95,50,3.96,scattered clouds
25,Kapaa,US,22.0752,-159.319,82.38,71,40,19.57,scattered clouds
26,La Belgica,BO,-17.55,-63.2167,75.49,78,28,10.36,scattered clouds
27,Qeshm,IR,26.9581,56.2719,69.67,73,2,2.33,clear sky
28,Adrar,MR,20.5022,-10.0711,70.72,15,0,10.4,clear sky
29,Fairbanks,US,64.8378,-147.7164,27.09,59,0,9.22,clear sky
30,Cidreira,BR,-30.1811,-50.2056,68.65,97,100,8.88,overcast clouds
31,Pisco,PE,-13.7,-76.2167,66.25,82,0,14.97,clear sky
32,Hithadhoo,MV,-0.6,73.0833,82.81,68,5,3.78,clear sky
